,balance_sheet_Ordinary Shares Number,balance_sheet_Share Issued,balance_sheet_Net Debt,balance_sheet_Total Debt,balance_sheet_Tangible Book Value,balance_sheet_Invested Capital,balance_sheet_Working Capital,balance_sheet_Net Tangible Assets,balance_sheet_Common Stock Equity,balance_sheet_Total Capitalization,balance_sheet_Total Equity Gross Minority Interest,balance_sheet_Stockholders Equity,balance_sheet_Gains Losses Not Affecting Retained Earnings,balance_sheet_Other Equity Adjustments,balance_sheet_Retained Earnings,balance_sheet_Capital Stock,balance_sheet_Common Stock,balance_sheet_Total Liabilities Net Minority Interest,balance_sheet_Total Non Current Liabilities Net Minority Interest,balance_sheet_Other Non Current Liabilities,balance_sheet_Tradeand Other Payables Non Current,balance_sheet_Long Term Debt And Capital Lease Obligation,balance_sheet_Long Term Debt,balance_sheet_Current Liabilities,balance_sheet_Other Current Liabilities,balance_sheet_Current Deferred Liabilities,balance_sheet_Current Deferred Revenue,balance_sheet_Current Debt And Capital Lease Obligation,balance_sheet_Current Debt,balance_sheet_Other Current Borrowings,balance_sheet_Commercial Paper,balance_sheet_Payables And Accrued Expenses,balance_sheet_Current Accrued Expenses,balance_sheet_Payables,balance_sheet_Total Tax Payable,balance_sheet_Income Tax Payable,balance_sheet_Accounts Payable,balance_sheet_Total Assets,balance_sheet_Total Non Current Assets,balance_sheet_Other Non Current Assets,balance_sheet_Non Current Deferred Assets,balance_sheet_Non Current Deferred Taxes Assets,balance_sheet_Investments And Advances,balance_sheet_Investmentin Financial Assets,balance_sheet_Available For Sale Securities,balance_sheet_Net PPE,balance_sheet_Accumulated Depreciation,balance_sheet_Gross PPE,balance_sheet_Leases,balance_sheet_Machinery Furniture Equipment,balance_sheet_Land And Improvements,balance_sheet_Properties,balance_sheet_Current Assets,balance_sheet_Other Current Assets,balance_sheet_Inventory,balance_sheet_Finished Goods,balance_sheet_Raw Materials,balance_sheet_Receivables,balance_sheet_Other Receivables,balance_sheet_Accounts Receivable,balance_sheet_Cash Cash Equivalents And Short Term Investments,balance_sheet_Other Short Term Investments,balance_sheet_Cash And Cash Equivalents,balance_sheet_Cash Equivalents,balance_sheet_Cash Financial,income_statement_Tax Effect Of Unusual Items,income_statement_Tax Rate For Calcs,income_statement_Normalized EBITDA,income_statement_Net Income From Continuing Operation Net Minority Interest,income_statement_Reconciled Depreciation,income_statement_Reconciled Cost Of Revenue,income_statement_EBITDA,income_statement_EBIT,income_statement_Normalized Income,income_statement_Net Income From Continuing And Discontinued Operation,income_statement_Total Expenses,income_statement_Total Operating Income As Reported,income_statement_Diluted Average Shares,income_statement_Basic Average Shares,income_statement_Diluted EPS,income_statement_Basic EPS,income_statement_Diluted NI Availto Com Stockholders,income_statement_Net Income Common Stockholders,income_statement_Net Income,income_statement_Net Income Including Noncontrolling Interests,income_statement_Net Income Continuous Operations,income_statement_Tax Provision,income_statement_Pretax Income,income_statement_Other Income Expense,income_statement_Other Non Operating Income Expenses,income_statement_Operating Income,income_statement_Operating Expense,income_statement_Research And Development,income_statement_Selling General And Administration,income_statement_Gross Profit,income_statement_Cost Of Revenue,income_statement_Total Revenue,income_statement_Operating Revenue,cashflow_Free Cash Flow,cashflow_Repurchase Of Capital Stock,cashflow_Repayment Of Debt,cashflow_Issuance Of Debt,cashflow_Capital Expenditure,cashflow_Income Tax Paid Supplemental Data,cashflow_End Cash Position,cashflow_Beginning Cash Position,cashflow_Changes In Cash,cashflow_Financing Cash Flow,cashflow_Cash Flow From Continuing Financing Activities,cashflow_Net Other Financing Charges,cashflow_Cash Dividends Paid,cashflow_Common Stock Dividend Paid,cashflow_Net Common Stock Issuance,cashflow_Common Stock Payments,cashflow_Net Issuance Payments Of Debt,cashflow_Net Short Term Debt Issuance,cashflow_Short Term Debt Payments,cashflow_Net Long Term Debt Issuance,cashflow_Long Term Debt Payments,cashflow_Long Term Debt Issuance,cashflow_Investing Cash Flow,cashflow_Cash Flow From Continuing Investing Activities,cashflow_Net Other Investing Changes,cashflow_Net Investment Purchase And Sale,cashflow_Sale Of Investment,cashflow_Purchase Of Investment,cashflow_Net PPE Purchase And Sale,cashflow_Purchase Of PPE,cashflow_Operating Cash Flow,cashflow_Cash Flow From Continuing Operating Activities,cashflow_Change In Working Capital,cashflow_Change In Other Current Liabilities,cashflow_Change In Other Current Assets,cashflow_Change In Payables And Accrued Expense,cashflow_Change In Payable,cashflow_Change In Account Payable,cashflow_Change In Inventory,cashflow_Change In Receivables,cashflow_Changes In Account Receivables,cashflow_Other Non Cash Items,cashflow_Stock Based Compensation,cashflow_Depreciation Amortization Depletion,cashflow_Depreciation And Amortization,cashflow_Net Income From Continuing Operations
2025-09-30,14773260000.0,14773260000.0,62723000000.0,98657000000.0,73733000000.0,172390000000.0,-17674000000.0,73733000000.0,73733000000.0,152061000000.0,73733000000.0,73733000000.0,-5571000000.0,-5571000000.0,-14264000000.0,93568000000.0,93568000000.0,285508000000.0,119877000000.0,41549000000.0,,78328000000.0,78328000000.0,165631000000.0,44452000000.0,9055000000.0,9055000000.0,20329000000.0,20329000000.0,12350000000.0,7979000000.0,91795000000.0,8919000000.0,82876000000.0,13016000000.0,13016000000.0,69860000000.0,359241000000.0,211284000000.0,62950000000.0,20777000000.0,20777000000.0,77723000000.0,77723000000.0,77723000000.0,49834000000.0,-76014000000.0,125848000000.0,15091000000.0,83420000000.0,27337000000.0,0.0,147957000000.0,14585000000.0,5718000000.0,,,72957000000.0,33180000000.0,39777000000.0,54697000000.0,18763000000.0,35934000000.0,7667000000.0,28267000000.0,0.0,0.162724,35554000000.0,27466000000.0,3127000000.0,54125000000.0,35554000000.0,32427000000.0,27466000000.0,27466000000.0,70039000000.0,32427000000.0,14863609000.0,14815307000.0,1.85,1.85,27466000000.0,27466000000.0,27466000000.0,27466000000.0,27466000000.0,5338000000.0,32804000000.0,377000000.0,377000000.0,32427000000.0,15914000000.0,8866000000.0,7048000000.0,48341000000.0,54125000000.0,102466000000.0,102466000000.0,26486000000.0,-20132000000.0,-1185000000.0,0.0,-3242000000.0,6037000000.0,35934000000.0,36269000000.0,-335000000.0,-27476000000.0,-27476000000.0,-265000000.0,-3862000000.0,-3862000000.0,-20132000000.0,-20132000000.0,-3217000000.0,-1967000000.0,,-1250000000.0,-1250000000.0,0.0,-2587000000.0,-2587000000.0,-505000000.0,1160000000.0,7976000000.0,-6816000000.0,-3242000000.0,-3242000000.0,29728000000.0,29728000000.0,-5707000000.0,4085000000.0,-3081000000.0,19381000000.0,19381000000.0,19381000000.0,177000000.0,-26269000000.0,-12367000000.0,1659000000.0,3183000000.0,3127000000.0,3127000000.0,27466000000.0
2025-06-30,14856722000.0,14856722000.0,65429000000.0,101698000000.0,65830000000.0,167528000000.0,-18629000000.0,65830000000.0,65830000000.0,148260000000.0,65830000000.0,65830000000.0,-6369000000.0,-6369000000.0,-17607000000.0,89806000000.0,89806000000.0,265665000000.0,124545000000.0,42115000000.0,,82430000000.0,82430000000.0,141120000000.0,62499000000.0,8979000000.0,8979000000.0,19268000000.0,19268000000.0,9345000000.0,9923000000.0,50374000000.0,,50374000000.0,,,50374000000.0,331495000000.0,209004000000.0,82882000000.0,,,77614000000.0,77614000000.0,77614000000.0,48508000000.0,-75803000000.0,124311000000.0,,,,,122491000000.0,14359000000.0,5925000000.0,3637000000.0,2288000000.0,46835000000.0,19278000000.0,27557000000.0,55372000000.0,19103000000.0,36269000000.0,9583000000.0,26686000000.0,0.0,0.164,31032000000.0,23434000000.0,2830000000.0,50318000000.0,31032000000.0,28202000000.0,23434000000.0,23434000000.0,65834000000.0,28202000000.0,14948179000.0,14902886000.0,1.57,1.57,23434000000.0,23434000000.0,23434000000.0,23434000000.0,23434000000.0,4597000000.0,28031000000.0,-171000000.0,-171000000.0,28202000000.0,15516000000.0,8866000000.0,6650000000.0,43718000000.0,50318000000.0,94036000000.0,94036000000.0,24405000000.0,-21075000000.0,-1770000000.0,,-3462000000.0,5649000000.0,36269000000.0,28162000000.0,8107000000.0,-24833000000.0,-24833000000.0,-2524000000.0,-3945000000.0,-3945000000.0,-21075000000.0,-21075000000.0,2711000000.0,3903000000.0,3903000000.0,-1192000000.0,-5673000000.0,,5073000000.0,5073000000.0,-340000000.0,8875000000.0,14024000000.0,-5149000000.0,-3462000000.0,-3462000000.0,27867000000.0,27867000000.0,-2034000000.0,418000000.0,-1745000000.0,-3875000000.0,-3875000000.0,-3875000000.0,365000000.0,2803000000.0,-1581000000.0,469000000.0,3168000000.0,2830000000.0,2830000000.0,23434000000.0
2025-03-31,14939315000.0,14939315000.0,70024000000.0,98186000000.0,66796000000.0,164982000000.0,-25897000000.0,66796000000.0,66796000000.0,145362000000.0,66796000000.0,66796000000.0,-6363000000.0,-6363000000.0,-15552000000.0,88711000000.0,88711000000.0,264437000000.0,119866000000.0,41300000000.0,,78566000000.0,78566000000.0,144571000000.0,61849000000.0,8976000000.0,8976000000.0,19620000000.0,19620000000.0,13638000000.0,5982000000.0,54126000000.0,,54126000000.0,,,54126000000.0,331233000000.0,212559000000.0,81259000000.0,,,84424000000.0,84424000000.0,84424000000.0,46876000000.0,-74303000000.0,121179000000.0,,,,,118674000000.0,14109000000.0,6269000000.0,3596000000.0,2673000000.0,49798000000.0,23662000000.0,26136000000.0,48498000000.0,20336000000.0,28162000000.0,3101000000.0,25061000000.0,0.0,0.155,32250000000.0,24780000000.0,2661000000.0,50492000000.0,32250000000.0,29589000000.0,24780000000.0,24780000000.0,65770000000.0,29589000000.0,15056133000.0,14994082000.0,1.65,1.65,24780000000.0,24780000000.0,24780000000.0,24780000000.0,24780000000.0,4530000000.0,29310000000.0,-279000000.0,-279000000.0,29589000000.0,15278000000.0,8550000000.0,6728000000.0,44867000000.0,50492000000.0,95359000000.0,95359000000.0,20881000000.0,-25898000000.0,976000000.0,,-3071000000.0,13032000000.0,28162000000.0,30299000000.0,-2137000000.0,-29006000000.0,-29006000000.0,-326000000.0,-3758000000.0,-3758000000.0,-25898000000.0,-25898000000.0,976000000.0,3976000000.0,3976000000.0,-3000000000.0,-3000000000.0,,2917000000.0,2917000000.0,-32000000.0,6020000000.0,12338000000.0,-6318000000.0,-3071000000.0,-3071000000.0,23952000000.0,23952000000.0,-6507000000.0,-3581000000.0,-5310000000.0,-7933000000.0,-7933000000.0,-7933000000.0,643000000.0,9674000000.0,3669000000.0,-208000000.0,3226000000.0,2661000000.0,2661000000.0,24780000000.0
2024-12-31,15037874000.0,15037874000.0,66500000000.0,96799000000.0,66758000000.0,163557000000.0,-11125000000.0,66758000000.0,66758000000.0,150714000000.0,66758000000.0,66758000000.0,-6789000000.0,-6789000000.0,-11221000000.0,84768000000.0,84768000000.0,277327000000.0,132962000000.0,49006000000.0,,83956000000.0,83956000000.0,144365000000.0,61151000000.0,8461000000.0,8461000000.0,12843000000.0,12843000000.0,10848000000.0,1995000000.0,61910000000.0,,61910000000.0,,,61910000000.0,344085000000.0,210845000000.0,77183000000.0,,,87593000000.0,87593000000.0,87593000000.0,46069000000.0,-74546000000.0,120615000000.0,,,,,133240000000.0,13248000000.0,6911000000.0,4119000000.0,2792000000.0,59306000000.0,29667000000.0,29639000000.0,53775000000.0,23476000000.0,30299000000.0,3226000000.0,27073000000.0,0.0,0.147,45912000000.0,36330000000.0,3080000000.0,66025000000.0,45912000000.0,42832000000.0,36330000000.0,36330000000.0,81468000000.0,42832000000.0,15150865000.0,15081724000.0,2.4,2.41,36330000000.0,36330000000.0,36330000000.0,36330000000.0,36330000000.0,6254000000.0,42584000000.0,-248000000.0,-248000000.0,42832000000.0,15443000000.0,8268000000.0,7175000000.0,58275000000.0,66025000000.0,124300000000.0,124300000000.0,26995000000.0,-23606000000.0,-8953000000.0,,-2940000000.0,18651000000.0,30299000000.0,29943000000.0,356000000.0,-39371000000.0,-39371000000.0,-2956000000.0,-3856000000.0,-3856000000.0,-23606000000.0,-23606000000.0,-8953000000.0,-7944000000.0,-7944000000.0,-1009000000.0,-1009000000.0,,9792000000.0,9792000000.0,-603000000.0,13335000000.0,19459000000.0,-6124000000.0,-2940000000.0,-2940000000.0,29935000000.0,29935000000.0,-10752000000.0,-11998000000.0,939000000.0,-6671000000.0,-6671000000.0,-6671000000.0,215000000.0,6763000000.0,3597000000.0,-2009000000.0,3286000000.0,3080000000.0,3080000000.0,36330000000.0
2024-09-30,15116786000.0,15116786000.0,76686000000.0,106629000000.0,56950000000.0,163579000000.0,-23405000000.0,56950000000.0,56950000000.0,142700000000.0,56950000000.0,56950000000.0,-7172000000.0,-7172000000.0,-19154000000.0,83276000000.0,83276000000.0,308030000000.0,131638000000.0,45888000000.0,9254000000.0,85750000000.0,85750000000.0,176392000000.0,44024000000.0,8249000000.0,8249000000.0,20879000000.0,20879000000.0,10912000000.0,9967000000.0,103240000000.0,,95561000000.0,26601000000.0,26601000000.0,68960000000.0,364980000000.0,211993000000.0,55335000000.0,19499000000.0,19499000000.0,91479000000.0,91479000000.0,91479000000.0,45680000000.0,-73448000000.0,119128000000.0,14233000000.0,80205000000.0,24690000000.0,0.0,152987000000.0,14287000000.0,7286000000.0,,,66243000000.0,32833000000.0,33410000000.0,65171000000.0,35228000000.0,29943000000.0,2744000000.0,27199000000.0,0.0,0.21,32502000000.0,14736000000.0,2911000000.0,51051000000.0,32502000000.0,29591000000.0,14736000000.0,14736000000.0,65339000000.0,29591000000.0,15242853000.0,15171990000.0,0.97,0.97,14736000000.0,14736000000.0,14736000000.0,14736000000.0,14736000000.0,14874000000.0,29610000000.0,19000000.0,19000000.0,29591000000.0,14288000000.0,7765000000.0,6523000000.0,43879000000.0,51051000000.0,94930000000.0,94930000000.0,23903000000.0,-25083000000.0,427000000.0,0.0,-2908000000.0,6872000000.0,29943000000.0,26635000000.0,3308000000.0,-24948000000.0,-24948000000.0,-448000000.0,-3804000000.0,-3804000000.0,-25083000000.0,-25083000000.0,4387000000.0,6945000000.0,,-2558000000.0,-2558000000.0,0.0,1445000000.0,1445000000.0,-191000000.0,4544000000.0,15126000000.0,-10582000000.0,-2908000000.0,-2908000000.0,26811000000.0,26811000000.0,6608000000.0,15550000000.0,-6105000000.0,21191000000.0,21191000000.0,21191000000.0,-1087000000.0,-22941000000.0,-10485000000.0,-302000000.0,2858000000.0,2911000000.0,2911000000.0,14736000000.0
2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
